721,759,467
119,419,183
625,548,726
905,885,76
882,764,789
466,816,442
117,573,443
516,418,949
819,830,236
958,127,153
209,563,660
280,758,399
866,378,546
745,684,505
63,269,69
902,728,76
775,199,463
654,314,262
499,735,539
758,478,9
362,115,811
15,22,762
697,952,355
549,880,240
868,152,817
847,899,155
917,43,582
894,628,390
962,252,756
143,178,144
930,909,256
242,52,722
160,591,185
752,691,651
93,154,813
629,221,200
386,939,321
47,613,914
156,282,520
645,234,221
938,399,505
70,56,533
23,807,982
797,281,133
247,302,339
532,520,597
17,582,702
103,666,226
951,189,598
68,283,741
749,330,216
723,875,85
597,349,404
320,231,226
278,941,265
57,398,705
300,863,261
168,313,53
237,183,541
24,781,180
903,157,667
308,849,740
800,464,155
310,263,52
977,567,582
934,276,294
722,746,674
108,302,676
903,954,418
792,457,776
143,102,511
119,418,390
496,930,437
529,474,424
990,535,172
416,408,442
447,957,94
611,960,833
157,849,507
583,339,980
110,181,913
571,342,265
201,948,52
918,804,671
322,943,959
925,599,342
750,844,442
291,574,867
671,753,94
803,535,686
925,209,133
370,27,854
666,506,290
862,526,113
768,746,250
978,44,737
842,780,608
741,98,124
968,65,944
45,220,60
